Question Number|English Content|Chinese Translation
1|"The celebrated theory is still the source of great controversy."|"这一著名的理论至今仍是巨大争议的根源。"
2|"We can all meet at my office after the lecture."|"讲座结束后我们可以在我的办公室见面。"
3|"All dissertations must be accompanied by a submission form."|"所有论文必须附上提交表格。"
4|"All industries are a system of inputs, processes, outputs and feedback."|"所有行业都是一个输入、处理、输出和反馈的系统。"
5|"Our view is that educational reforms have been inadequately implemented."|"我们的看法是，教育改革执行得不够充分。"
6|"Americans have typically defined the process of plant growth in quantitative terms."|"美国人通常用定量术语来定义植物生长的过程。"
7|"Animals raised in captivity behave differently than their wild counterparts."|"圈养的动物和野生的动物行为不同。"
8|"Medical researchers have focused on causes of diseases and treatments."|"医学研究人员一直致力于研究疾病的病因和治疗方法。"
9|"Native speakers are exempt from the language tests in their own language."|"母语者不用参加自己语言的测试。"
10|"Nurses can specialize in clinical work or management."|"护士可以专攻临床工作或管理。"
11|"Organizational failure is considered from various perspectives in academic literature."|"在学术文献中，人们从不同的角度来思考组织层面的失败。"
12|"Peer group pressure has a significant effect on young people."|"同辈群体压力对年轻人有很大的影响。"
13|"Please note that the submission deadlines are only negotiable in exceptional circumstances."|"请注意，提交截止日期只有在特殊情况下才能协商。"
14|"The speaker began by giving an outline of her presentation."|"演讲者先给出了她今天讲座的大纲。"
15|"She has made a significant contribution to the field of chemistry."|"她在化学领域做出了重大贡献。"
16|"Many departments have their own special book collections."|"许多部门都有自己的特殊藏书。"
17|"A bar chart provides a useful means of data comparison."|"柱状图提供了一种很有用的数据比较方法。"
18|"The rising inflation rate indicates a decrease in demand for consumer products."|"通货膨胀率的上升表明对消费品的需求下降。"
19|"The garden behind the university is open to the public in summer."|"大学后面的花园在夏天对公众开放。"
20|"The results of the study underscored the importance of early detection."|"研究的结果强调了早期发现的重要性。"
21|"The summer course is canceled due to insufficient enrollment."|"由于报名人数不足，夏季课程取消了。"
22|"The new technician dropped the microscope in the biology lab."|"那个新来的技术员在生物实验室里把显微镜摔了。"
23|"The visiting speaker used to be a lecturer in this department."|"来访的演讲人曾是这个系的讲师。"
24|"There is clearly a need for further research in this field."|"这一领域显然有进一步研究的必要。"
25|"Traveling by boat on the river is not possible in winter."|"冬天坐船旅行是不可能的。"
26|"We can work together to achieve high educational standards."|"我们可以共同努力实现高教育标准。"
27|"Parents’ talk to children tends to be simplified."|"父母对孩子的谈话往往被简化。"
28|"Find out how to get resources before your research."|"在你研究之前了解获得资料的方法。"
29|"Global connections thrived in academic communities, thanks to social media."|"多亏了社交媒体，学术界的全球联系蓬勃发展。"
30|"The theater study course encourages students to exercise creativity."|"戏剧学习课程鼓励学生锻炼创造力。"
31|"There are opportunities to receive grants in most artistic fields."|"大多数艺术领域都有获得资助的机会。"
32|"Every student has both the right and the ability to succeed."|"每个学生都有成功的权利和能力。"
33|"Collaboration between departments is a feature of successful companies."|"部门间的协作是成功公司的一个特点。"
34|"Making mistakes is fine as long as you learn from them."|"只要你能从错误中吸取教训，犯错误没什么大不了的。"
35|"Some people are motivated by competition, while others prefer to collaborate."|"有些人的动力是竞争，而另一些人更喜欢合作。"
36|"The ability to work with fellow students cannot be stressed enough."|"与同学一起工作的能力是再怎么强调也不为过的。"
37|"The plight of local wildlife has been ignored by developers."|"当地野生动物的困境一直被开发商忽视。"
38|"The site is designed to be highly interactive."|"这个网站被设计成高度交互式的。"
39|"You should submit your term papers to the general office."|"你应该把你的学期论文交到办公室。"
40|"Key business partners are often intertwined in expense accounts."|"主要业务伙伴经常在费用账目上纠缠不清。"
41|"Sugar is a compound including carbon, oxygen, and hydrogen atoms."|"糖是一种包括碳、氧和氢原子的化合物。"
42|"Many vocational courses at institutions are funded by private enterprises."|"一些机构的职业课程是由私营企业资助的。"
43|"Distance learning allows you to develop a career around your commitments."|"远程学习使您能够在兼顾你现有责任的同时发展职业。"
44|"Growing population has posed a challenge to many governments."|"不断增长的人口对许多政府构成了挑战。"
45|"It takes a long time to walk to university."|"步行到大学要花很长时间。"
46|"Many food crops require large amounts of water and fertilizer."|"许多粮食作物需要大量的水和肥料。"
47|"Classical mechanics is sometimes considered as a branch of applied mathematics."|"经典力学有时候被认为是应用数学的一个分支。"
48|"Undergraduates may pursue their specific interests within certificate programs."|"本科生可以在认证课程中追求自己的爱好。"
49|"Summer school programs allow some students to accelerate their studies."|"暑期课程允许一些学生加快他们的学习进度。"
50|"Peer review is an essential part of scientific methods."|"同行评议是科研方法的重要组成部分。"
51|"Advanced technology created growth in the economy."|"先进科技创造了经济增长。"
52|"This course places considerable emphasis on critical thinking skills."|"本课程相当重视批判性思维技能。"
53|"A typical part of the course involves the study of society."|"这门课程的一个典型部分包括了社会研究。"
54|"Scientists have founded all parts of society today."|"科学家们建立了当今社会的各个部分。"
55|"Physics is the key subject to understanding the world and the universe."|"物理学是理解世界和宇宙的关键学科。"
56|"This new camera can identify your eyes and focus on them."|"这个新相机可以识别你的眼睛并对其进行聚焦。"
57|"An architect is required to have problem-solving skills and an eye for design."|"建筑师需要有解决问题的能力和设计的眼光。"
58|"In his lifetime, he composed a large number of works."|"他一生创作了大量的作品。"
59|"In addition to class requirements, students must pass all the qualifying examinations."|"除了课堂要求之外，学生还必须通过所有资格考试。"
60|"We encourage students to complete their applications before the deadline."|"我们鼓励学生在截止日期前完成申请。"
61|"She began by giving an outline of the previous lecture."|"她首先针对上一讲的内容进行了概述。"
62|"Social psychology is concerned with the understanding of human behaviors."|"社会心理学关注的是对人类行为的理解。"
63|"This is the first example of a modern and professional army."|"这是现代化和职业化军队的第一个例子。"
64|"The department is doing some crucial work on climate change."|"该部门正在做一些关于气候变化的重要工作。"
65|"The biology department is respected for research activities."|"生物系以研究活动著称。"
66|"Tutorials are scheduled in the final week of the term."|"辅导课安排在学期的最后一周。"
67|"Economic development needs to be supported by the government."|"经济发展需要政府的支持。"
68|"The toughest part of postgraduate education is funding."|"研究生教育最困难的部分是资金。"
69|"Although sustainable development is not easy, it is an unavoidable responsibility."|"可持续发展虽然不容易，但是一项不可推卸的责任。"
70|"An introduction is an essential element of a presentation."|"简介是演讲的基本要素。"
71|"Students will develop confidence in their ability to think critically."|"学生将建立对批判性思考能力的信心。"
72|"Consumer confidence has a direct influence on sales."|"消费者信心对销售有直接影响。"
73|"Convincing evidence to support this theory is hard to obtain."|"支持这一理论的令人信服的证据很难获得。"
74|"Despite the protest, the chemistry department was closed down."|"尽管有抗议，化学系还是被关闭了。"
75|"Despite their differences, all forms of life share certain characteristics."|"尽管存在差异，但所有形式的生命都有某些共同的特征。"
76|"Economic problems caused a big rise in unemployment."|"经济问题导致失业人数大幅增加。"
77|"The academic strength of the early Roman Republic will be examined."|"我们将考察早期罗马共和国的学术实力。"
