Question Number,English Content,Chinese Translation
1,"A series of lectures showcasing economic research have been recorded.","录制了一系列展示经济研究的讲座。"
2,"A bar chart provides a useful means of data comparison.","条形图提供了一种有用的数据比较方法。"
3,"A good architectural structure should be useful, durable and beautiful.","良好的建筑结构应该实用、耐用且美观。"
4,"A series of the observations were carried out in the classroom.","在课堂上进行了一系列观察。"
5,"A typical part of the course involves the study of society.","课程的典型部分涉及社会研究。"
6,"A visit to the designed museum is of great value.","参观设计博物馆非常有价值。"
7,"Academic libraries across the world are steadily incorporating social media.","世界各地的学术图书馆都在稳步融入社交媒体。"
8,"Advanced technology created growth in the economy.","先进技术促进经济增长。"
9,"All answers must be thoroughly researched and supported by relevant theories.","所有答案都必须经过彻底研究并得到相关理论的支持。"
10,"All dissertations must be accompanied by a submission form.","所有论文都必须附有提交表格。"
11,"All industries are a system of inputs, processes, outputs and feedback.","所有行业都是一个输入、过程、输出和反馈的系统。"
12,"All of the assignments must be submitted in person to the faculty office.","所有作业都必须亲自提交给教职员工办公室。"
13,"All students are expected to attend ten lab sessions per semester.","所有学生每学期都要参加十次实验课。"
14,"Americans have typically defined the process of plant growth in quantitative terms.","美国人通常用定量术语来定义植物生长的过程。"
15,"An architect is required to have problem-solving skills and an eye for design.","建筑师需要具备解决问题的能力和设计眼光。"
16,"An effective business manager is always open to new ideas.","有效的业务经理始终对新想法持开放态度。"
17,"Animal and plant cells have a number of structures in common.","动物和植物细胞有许多共同的结构。"
18,"Animals raised in captivity behave differently than their wild counterparts.","圈养动物的行为与野生动物不同。"
19,"Any gain on sales of property must be allocated promptly.","任何财产销售收益都必须及时分配。"
20,"Astronomers use light years to measure distance in space.","天文学家使用光年来测量太空中的距离。"
21,"Before you choose your university courses, you should consider your future career.","在选择大学课程之前，您应该考虑未来的职业。"
22,"Being bilingual does not necessarily mean having the ability to analyse the languages.","会双语并不一定意味着有能力分析语言。"
23,"Classical mechanics is sometimes considered as a branch of applied mathematics.","经典力学有时被认为是应用数学的一个分支。"
24,"Climate change is not a pure reason for this scientific research.","气候变化并不是这项科学研究的纯粹原因。"
25,"Collaboration between departments is a feature of successful companies.","部门之间的合作是成功公司的一个特征。"
26,"Currently the growth of the economy is unpredictable.","目前经济增长不可预测。"
27,"Designers need to keep up with the social trends.","设计师需要跟上社会趋势。"
28,"Distance learning allows you to develop a career around your commitments.","远程学习让您能够围绕自己的承诺发展事业。"
29,"Education and training provide important skills for the labour force.","教育和培训为劳动力提供重要技能。"
30,"Educational level is found to be related to social and economic background.","教育水平与社会和经济背景有关。"
31,"Efforts are being made to reduce harmful emissions.","正在努力减少有害排放。"
32,"Every student has both the right and the ability to succeed.","每个学生都有成功的权利和能力。"
33,"Farming methods across the world have greatly developed recently.","世界各地的耕作方法最近得到了很大的发展。"
34,"Find out how to get resources before your research.","在研究之前了解如何获取资源。"
35,"Geography is generally divided into two main branches, human and physical.","地理通常分为两个主要分支，即人类和物理。"
36,"Global connections thrived in academic communities, thanks to social media.","由于社交媒体的存在，全球联系在学术界蓬勃发展。"
37,"Growing population has posed a challenge to many governments.","人口增长对许多政府构成了挑战。"
38,"He landed a job in a very prestigious law firm.","他在一家非常有名望的律师事务所找到了一份工作。"
39,"Important details from the argument are missing in the summary.","摘要中缺少论点的重要细节。"
40,"In addition to class requirements, students must pass all the qualifying examinations.","除了课程要求外，学生还必须通过所有资格考试。"
41,"In computer science degree, there is a new module in artificial intelligence.","在计算机科学学位中，有一个新的人工智能模块。"
42,"In his lifetime, he composed a large number of works.","在他的一生中，他创作了大量的作品。"
43,"In this language course, we focus on both fluency and accuracy.","在这门语言课程中，我们注重流利度和准确性。"
44,"It takes a long time to walk to university.","步行到大学需要很长时间。"
45,"Key business partners are often intertwined in expense accounts.","关键业务合作伙伴经常在费用账户中交织在一起。"
46,"Leaving valuable possessions unattended in public place is risky.","将贵重物品留在公共场所无人看管是有风险的。"
47,"Linguistics is the scientific study and analysis of language.","语言学是对语言的科学研究和分析。"
48,"Listening is the key skill needed to succeed in this course.","倾听是成功完成这门课程所需的关键技能。"
49,"Making mistakes is fine as long as you learn from them.","只要你能从中吸取教训，犯错是可以的。"
50,"Manufacture can now employ more people than agriculture and fishing combined.","制造业现在可以雇用的人数比农业和渔业的总和还要多。"
51,"Many birds migrate to warmer areas for the winter.","许多鸟类迁徙到温暖的地区过冬。"
